Detector Part,Silicon Absorption Probability,Mount Absorption Probability,Average eta Phonon,Standard Deviation
Capacitor,0.001,0.28,0.524294,0.538633
Feedline,0.001,0.28,2.47161,1.27717
Mount,0.001,0.28,19.7755,2.04219
Inductor,0.003,0.28,0.732658,0.703968
Silicon,0.003,0.28,49.8142,1.76959
Capacitor,0.003,0.28,0.347688,0.444397
Feedline,0.003,0.28,1.56468,0.803931
Mount,0.003,0.28,7.53568,1.29829
Inductor,0.005,0.28,0.928821,0.827125
Silicon,0.005,0.28,53.7689,1.7671
Capacitor,0.005,0.28,0.323895,0.453001
Feedline,0.005,0.28,1.18164,0.839879
Mount,0.005,0.28,3.79131,1.15415
Inductor,0.007,0.28,0.984571,0.932712
Silicon,0.007,0.28,54.9812,1.65995
Capacitor,0.007,0.28,0.134931,0.289499
Feedline,0.007,0.28,1.22418,0.952361
Mount,0.007,0.28,2.67401,0.97175
Inductor,0.009,0.28,0.990329,0.864151
Silicon,0.009,0.28,55.7786,1.33772
Capacitor,0.009,0.28,0.241046,0.407259
Feedline,0.009,0.28,1.0616,0.960715
Mount,0.009,0.28,1.92607,0.771451
Inductor,0.011,0.28,0.690104,0.810564
Silicon,0.011,0.28,56.9071,1.18352
Capacitor,0.011,0.28,0.235602,0.424413
Feedline,0.011,0.28,0.859048,0.918302
Mount,0.011,0.28,1.30527,0.643792
Inductor,0.001,0.3,1.32197,0.977774
Silicon,0.001,0.3,35.7277,2.18285
Capacitor,0.001,0.3,0.519232,0.503467
Feedline,0.001,0.3,2.30175,0.986976
Mount,0.001,0.3,20.1167,2.0091
Inductor,0.003,0.3,1.08344,1.05088
Silicon,0.003,0.3,49.0232,1.82547
Capacitor,0.003,0.3,0.343107,0.389551
Feedline,0.003,0.3,1.46929,0.828605
Mount,0.003,0.3,8.07626,1.73085
Inductor,0.005,0.3,0.922815,0.888156
Silicon,0.005,0.3,53.158,1.71276
Capacitor,0.005,0.3,0.31701,0.414823
Feedline,0.005,0.3,1.1684,0.740461
Mount,0.005,0.3,4.42948,1.43385
Inductor,0.007,0.3,1.04667,0.791561
Silicon,0.007,0.3,55.0597,1.45588
Capacitor,0.007,0.3,0.118823,0.258182
Feedline,0.007,0.3,0.997485,0.919752
Mount,0.007,0.3,2.77514,1.01498
Inductor,0.009,0.3,0.765494,0.737874
Silicon,0.009,0.3,56.1846,1.45532
Capacitor,0.009,0.3,0.268254,0.450804
Feedline,0.009,0.3,0.878786,0.82425
Mount,0.009,0.3,1.90056,0.804917
Inductor,0.011,0.3,0.800497,0.884763
Silicon,0.011,0.3,56.916,1.3161
Capacitor,0.011,0.3,0.204023,0.362959
Feedline,0.011,0.3,0.823996,0.988779
Mount,0.011,0.3,1.25316,0.560125
Inductor,0.001,0.32,1.19261,1.01705
Silicon,0.001,0.32,35.0935,1.99387
Capacitor,0.001,0.32,0.364404,0.397806
Feedline,0.001,0.32,2.40102,1.20087
Mount,0.001,0.32,20.9336,1.92519
Inductor,0.003,0.32,0.856585,0.835386
Silicon,0.003,0.32,49.3952,1.90362
Capacitor,0.003,0.32,0.26521,0.434279
Feedline,0.003,0.32,1.48685,0.990405
Mount,0.003,0.32,7.99138,1.64299
Inductor,0.005,0.32,1.03254,0.787921
Silicon,0.005,0.32,52.8681,1.80366
Capacitor,0.005,0.32,0.340483,0.541569
Feedline,0.005,0.32,1.30842,0.927576
Mount,0.005,0.32,4.44641,1.18637
Inductor,0.007,0.32,0.896036,0.717857
Silicon,0.007,0.32,55.109,1.57212
Capacitor,0.007,0.32,0.137759,0.425032
Feedline,0.007,0.32,0.875852,0.822816
Mount,0.007,0.32,2.98026,1.06308
Inductor,0.009,0.32,0.883312,0.87769
Silicon,0.009,0.32,55.6773,1.73926
Capacitor,0.009,0.32,0.30855,0.456844
Feedline,0.009,0.32,1.08849,0.962817
Mount,0.009,0.32,2.0412,0.926456
Inductor,0.011,0.32,1.13628,0.877204
Silicon,0.011,0.32,56.4444,1.4828
Capacitor,0.011,0.32,0.354501,0.46577
Feedline,0.011,0.32,0.702167,0.772193
Mount,0.011,0.32,1.36233,0.689379
Inductor,0.001,0.34,1.0896,0.948356
Silicon,0.001,0.34,35.0641,2.61002
Capacitor,0.001,0.34,0.437693,0.561178
Feedline,0.001,0.34,2.5022,1.06085
Mount,0.001,0.34,20.8927,2.29519
Inductor,0.003,0.34,1.09368,0.86049
Silicon,0.003,0.34,48.7904,2.07225
Capacitor,0.003,0.34,0.348128,0.471701
Feedline,0.003,0.34,1.42239,0.977963
Mount,0.003,0.34,8.34391,1.96904
Inductor,0.005,0.34,0.883099,0.925663
Silicon,0.005,0.34,53.2846,1.77023
Capacitor,0.005,0.34,0.209936,0.396755
Feedline,0.005,0.34,1.16589,0.97424
Mount,0.005,0.34,4.45375,1.19764
Inductor,0.007,0.34,1.0705,0.937087
Silicon,0.007,0.34,54.4351,1.66613
Capacitor,0.007,0.34,0.219876,0.430367
Feedline,0.007,0.34,1.01403,0.784
Mount,0.007,0.34,3.25889,1.07121
Inductor,0.009,0.34,1.21139,1.259
Silicon,0.009,0.34,55.6197,1.51322
Capacitor,0.009,0.34,0.369052,0.538538
Feedline,0.009,0.34,0.802657,0.746752
Mount,0.009,0.34,1.99455,0.824495
Inductor,0.011,0.34,0.653427,0.731841
Silicon,0.011,0.34,56.7458,1.33915
Capacitor,0.011,0.34,0.296461,0.474018
Feedline,0.011,0.34,0.901873,0.859128
Mount,0.011,0.34,1.40208,0.801743
Inductor,0.001,0.36,1.14426,0.925245
Silicon,0.001,0.36,34.181,2.41451
Capacitor,0.001,0.36,0.444741,0.578085
Feedline,0.001,0.36,2.20181,1.16435
Mount,0.001,0.36,22.0203,2.35046
Inductor,0.003,0.36,1.05094,0.902252
Silicon,0.003,0.36,48.8457,2.03428
Capacitor,0.003,0.36,0.227882,0.379057
Feedline,0.003,0.36,1.3024,0.912865
Mount,0.003,0.36,8.56636,1.7785
Inductor,0.005,0.36,0.831692,0.864506
Silicon,0.005,0.36,53.0559,2.11849
Capacitor,0.005,0.36,0.288515,0.487067
Feedline,0.005,0.36,1.23414,0.848823
Mount,0.005,0.36,4.58544,1.4402
Inductor,0.007,0.36,0.952871,0.833632
Silicon,0.007,0.36,54.5958,1.68164
Capacitor,0.007,0.36,0.270731,0.429147
Feedline,0.007,0.36,1.15551,0.742431
Mount,0.007,0.36,3.02173,1.00491
Inductor,0.009,0.36,0.931966,0.748506
Silicon,0.009,0.36,55.6753,1.59978
Capacitor,0.009,0.36,0.262661,0.497491
Feedline,0.009,0.36,0.936951,0.880734
Mount,0.009,0.36,2.18994,1.04711
Inductor,0.011,0.36,0.824761,0.910145
Silicon,0.011,0.36,56.3078,1.3891
Capacitor,0.011,0.36,0.167543,0.328191
Feedline,0.011,0.36,1.12484,1.06204
Mount,0.011,0.36,1.56998,0.726593
Inductor,0.001,0.38,1.27082,1.05981
Silicon,0.001,0.38,34.1247,2.73951
Capacitor,0.001,0.38,0.447245,0.448835
Feedline,0.001,0.38,2.4671,1.25783
Mount,0.001,0.38,21.6752,2.40232
Inductor,0.003,0.38,0.987588,0.821787
